,Make,Model,Variant,Ex-Showroom_Price,Displacement,Kerb_Weight,Cylinders,Emission_Norm,Fuel_Tank_Capacity,Fuel_Type,Body_Type,Doors,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Type,Odometer,Speedometer,Tachometer,Seating_Capacity,Start_/_Stop_Button,Audiosystem,Aux-in_Compatibility,Basic_Warranty,Bluetooth,12v_Power_Outlet,Boot-lid_Opener,Boot_Space,Child_Safety_Locks,Extended_Warranty,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Hill_Assist,Airbags,Number_of_Airbags,Parking_Assistance,Infotainment_Screen,Navigation_System,Third_Row_AC_Vents,Second_Row_AC_Vents,Engine_Type,Rain_Sensing_Wipers
0,Tata,Nano Genx,Xt,292667.0,624.0,660.0,2.0,BS IV,24.0,Petrol,Hatchback,5.0,23.6,4,180.0,38PS@5500rpm,51Nm@4000rpm,Manual,Digital,Analog,Not on offer,4.0,Yes,CD Player with USB & Aux-in,Yes,2 years /75000 Kms ,Yes,Yes,Internal,110.0,Yes,2 years /150000 Kms ,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
1,Tata,Nano Genx,Xe,236447.0,624.0,725.0,2.0,BS IV,24.0,Petrol,Hatchback,5.0,23.6,4,180.0,38PS@5500rpm,51Nm@4000rpm,Manual,Digital,Analog,Not on offer,4.0,Not Applicable,Not on offer,Not Applicable,2 years /75000 Kms ,Not Applicable,Yes,Internal,110.0,Yes,2 years /150000 Kms ,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
2,Tata,Nano Genx,Emax Xm,296661.0,624.0,710.0,2.0,BS IV,15.0,CNG,Hatchback,4.0,23.6,4,180.0,38PS@5500rpm,51Nm@4000rpm,Manual,Digital,Analog,Not on offer,4.0,Not Applicable,Not on offer,Not Applicable,2 years /75000 Kms ,Not Applicable,Yes,Internal,110.0,Yes,2 years /150000 Kms ,Internal,Digital,Manual,Yes,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
3,Tata,Nano Genx,Xta,334768.0,624.0,725.0,2.0,BS IV,24.0,Petrol,Hatchback,5.0,21.9,5,180.0,38PS@5500rpm,51Nm@4000rpm,Automatic,Digital,Analog,Not on offer,4.0,Yes,CD Player with USB & Aux-in,Yes,2 years /75000 Kms ,Yes,Yes,Internal,94.0,Yes,2 years /150000 Kms ,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
4,Tata,Nano Genx,Xm,272223.0,624.0,725.0,2.0,BS IV,24.0,Petrol,Hatchback,5.0,23.6,4,180.0,38PS@5500rpm,51Nm@4000rpm,Manual,Digital,Analog,Not on offer,4.0,Not Applicable,Not on offer,Not Applicable,2 years /75000 Kms ,Not Applicable,Yes,Internal,110.0,Yes,2 years /150000 Kms ,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
5,Tata,Nano Genx,Xma,314815.0,624.0,710.0,2.0,BS IV,24.0,Petrol,Hatchback,5.0,21.9,5,180.0,38PS@5500rpm,51Nm@4000rpm,Automatic,Digital,Analog,Not on offer,4.0,Not Applicable,Not on offer,Not Applicable,2 years /75000 Kms ,Not Applicable,Yes,Internal,94.0,Yes,2 years /150000 Kms ,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
6,Datsun,Redi-Go,D,279650.0,799.0,710.0,3.0,BS IV,28.0,Petrol,Hatchback,5.0,25.17,5,185.0,54PS@5678rpm,72Nm@4386rpm,Manual,Digital,Analog,Digital,5.0,Not Applicable,Not on offer,Not Applicable,2 years without mileage limit,Not Applicable,Yes,Internal,222.0,Yes,2 Years Unlimited Kilometres,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
7,Datsun,Redi-Go,T,351832.0,799.0,710.0,3.0,BS IV,28.0,Petrol,Hatchback,5.0,25.17,5,185.0,54PS@5678rpm,72Nm@4386rpm,Manual,Digital,Analog,Digital,5.0,Not Applicable,CD Player with USB & Aux-in,Yes,2 years without mileage limit,Not Applicable,Yes,Internal,222.0,Yes,2 Years Unlimited Kilometres,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
8,Datsun,Redi-Go,A,333419.0,799.0,710.0,3.0,BS IV,28.0,Petrol,Hatchback,5.0,25.17,5,185.0,54PS@5678rpm,72Nm@4386rpm,Manual,Digital,Analog,Digital,5.0,Not Applicable,Not on offer,Not Applicable,2 years without mileage limit,Not Applicable,Yes,Internal,222.0,Yes,2 Years Unlimited Kilometres,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
9,Datsun,Redi-Go,S,362000.0,799.0,710.0,3.0,BS IV,28.0,Petrol,Hatchback,5.0,25.17,5,185.0,54PS@5678rpm,72Nm@4386rpm,Manual,Digital,Analog,Digital,5.0,Not Applicable,CD Player with USB & Aux-in,Yes,2 years without mileage limit,Not Applicable,Yes,"Internal, With Remote",222.0,Yes,2 Years Unlimited Kilometres,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Rear sensors,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
10,Datsun,Redi-Go,1.0 S,390000.0,999.0,710.0,3.0,BS IV,28.0,Petrol,Hatchback,5.0,22.5,5,185.0,68PS@5500rpm,91Nm@4250RPM,Manual,Digital,Analog,Digital,5.0,Not Applicable,CD Player with USB & Aux-in,Yes,2 years without mileage limit,Not Applicable,Yes,"Internal, With Remote",222.0,Yes,2 Years Unlimited Kilometres,Internal,Digital,Manual,Not Applicable,Not Applicable,0.0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not known,Not Applicable
